2024-03-16 18:26:43,393 INFO    wandb-upload_0:315281 [upload_job.py:push():131] Uploaded file /tmp/tmpm8h3osdlwandb/4xotdzdl-wandb-metadata.json
2024-03-16 18:26:45,704 INFO    Thread-17 :315281 [dir_watcher.py:_on_file_created():271] file/dir created: /home/sandaruvi/Workspace/Playground/marl_sumo_simulation/wandb/run-20240316_182637-2q0bftrq/files/output.log
2024-03-16 18:26:47,707 INFO    Thread-17 :315281 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/sandaruvi/Workspace/Playground/marl_sumo_simulation/wandb/run-20240316_182637-2q0bftrq/files/output.log
2024-03-16 18:26:49,081 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:26:49,709 INFO    Thread-17 :315281 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/sandaruvi/Workspace/Playground/marl_sumo_simulation/wandb/run-20240316_182637-2q0bftrq/files/output.log
2024-03-16 18:26:54,083 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:26:56,800 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: stop_status
2024-03-16 18:26:56,801 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: internal_messages
2024-03-16 18:26:56,802 DEBUG   SenderThread:315281 [sender.py:send_request():405] send_request: stop_status
2024-03-16 18:26:59,151 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:27:04,153 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:27:09,170 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:27:09,733 INFO    Thread-17 :315281 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/sandaruvi/Workspace/Playground/marl_sumo_simulation/wandb/run-20240316_182637-2q0bftrq/files/config.yaml
2024-03-16 18:27:11,800 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: stop_status
2024-03-16 18:27:11,801 DEBUG   SenderThread:315281 [sender.py:send_request():405] send_request: stop_status
2024-03-16 18:27:11,840 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: internal_messages
2024-03-16 18:27:15,274 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:27:20,276 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:27:25,716 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:27:25,752 INFO    Thread-17 :315281 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/sandaruvi/Workspace/Playground/marl_sumo_simulation/wandb/run-20240316_182637-2q0bftrq/files/output.log
2024-03-16 18:27:26,798 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: stop_status
2024-03-16 18:27:26,801 DEBUG   SenderThread:315281 [sender.py:send_request():405] send_request: stop_status
2024-03-16 18:27:26,808 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: internal_messages
2024-03-16 18:27:31,174 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:27:36,176 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
2024-03-16 18:27:39,015 DEBUG   SystemMonitor:315281 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-03-16 18:27:39,022 DEBUG   SenderThread:315281 [sender.py:send():378] send: stats
2024-03-16 18:27:41,799 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: stop_status
2024-03-16 18:27:41,801 DEBUG   SenderThread:315281 [sender.py:send_request():405] send_request: stop_status
2024-03-16 18:27:41,844 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: internal_messages
2024-03-16 18:27:42,190 DEBUG   HandlerThread:315281 [handler.py:handle_request():146] handle_request: status_report
