step,system_mean_waiting_time_mc,system_mean_waiting_time_mb
1.0,0.0,0.0
6.0,0.0,0.0
11.0,0.06451612903225806,0.03225806451612903
16.0,0.3548387096774194,0.1935483870967742
21.0,0.45161290322580644,0.3548387096774194
26.0,0.7741935483870968,0.6774193548387096
31.0,1.096774193548387,1.0
36.0,1.375,1.3225806451612903
41.0,1.6363636363636365,1.457142857142857
46.0,0.16666666666666666,0.13513513513513514
51.0,0.7297297297297297,0.475
56.0,1.0975609756097562,0.975609756097561
61.0,0.0,0.0
66.0,0.0,0.0
71.0,0.0,0.04
76.0,0.1320754716981132,0.23529411764705882
81.0,0.4339622641509434,0.43859649122807015
86.0,0.9090909090909091,0.7627118644067796
91.0,1.3728813559322033,1.180327868852459
96.0,2.0508474576271185,1.4375
101.0,2.85,2.0923076923076924
106.0,3.5714285714285716,2.8615384615384616
111.0,4.492307692307692,3.7611940298507465
116.0,5.106060606060606,4.013888888888889
121.0,5.542857142857143,4.756756756756757
126.0,5.594594594594595,4.7631578947368425
131.0,6.613333333333333,5.432098765432099
136.0,7.6455696202531644,6.5875
141.0,8.938271604938272,7.7560975609756095
146.0,10.240963855421686,9.011764705882353
151.0,10.529411764705882,10.541176470588235
156.0,10.611764705882353,10.247191011235955
161.0,11.191011235955056,10.373626373626374
166.0,8.344444444444445,8.815217391304348
171.0,5.0,5.315789473684211
176.0,4.378947368421053,5.144329896907217
181.0,3.9,4.224489795918367
186.0,3.99,3.7
191.0,4.376237623762377,3.7714285714285714
196.0,3.207920792079208,3.3796296296296298
201.0,2.5643564356435644,2.1926605504587156
206.0,1.6538461538461537,1.809090909090909
211.0,0.6972477064220184,1.5675675675675675
216.0,1.0267857142857142,2.2982456140350878
221.0,1.7232142857142858,3.146551724137931
226.0,2.5,3.8813559322033897
231.0,3.4310344827586206,4.804878048780488
236.0,4.333333333333333,5.792
241.0,5.206611570247934,6.59375
246.0,5.7560975609756095,7.48062015503876
251.0,6.244094488188976,8.503875968992247
256.0,7.480314960629921,9.606060606060606
261.0,8.674418604651162,10.696296296296296
266.0,9.803030303030303,12.066666666666666
271.0,10.291970802919709,13.398550724637682
276.0,10.81159420289855,14.104895104895105
281.0,12.18840579710145,15.496503496503497
286.0,13.37410071942446,16.99310344827586
291.0,14.113475177304965,17.904761904761905
296.0,15.68840579710145,19.753424657534246
301.0,16.108695652173914,21.568493150684933
306.0,16.719424460431654,22.210884353741495
311.0,18.253623188405797,23.671140939597315
316.0,18.972027972027973,25.346666666666668
321.0,20.20689655172414,26.836601307189543
326.0,21.724137931034484,28.448051948051948
331.0,15.964788732394366,24.923566878980893
336.0,14.39041095890411,23.371069182389938
341.0,15.17123287671233,24.43125
346.0,15.08843537414966,23.679012345679013
351.0,14.204081632653061,19.580246913580247
356.0,12.980263157894736,17.59375
361.0,12.533783783783784,14.828025477707007
366.0,11.273972602739725,12.794871794871796
371.0,9.20945945945946,11.051282051282051
376.0,6.6644736842105265,8.605095541401274
381.0,6.209150326797386,6.726708074534161
386.0,5.858064516129033,6.04320987654321
391.0,4.6923076923076925,4.167664670658683
396.0,3.8193548387096774,3.5535714285714284
401.0,4.025806451612903,2.976470588235294
406.0,4.10062893081761,3.0988372093023258
411.0,3.9622641509433962,2.742690058479532
416.0,4.595092024539877,3.436046511627907
421.0,4.0184049079754605,4.102857142857143
426.0,4.246913580246914,4.670520231213873
431.0,5.0184049079754605,5.544943820224719
436.0,5.842424242424243,6.597765363128492
441.0,6.837349397590361,7.707182320441989
446.0,8.08433734939759,9.06043956043956
451.0,8.8,10.280219780219781
456.0,8.946428571428571,10.426229508196721
461.0,10.08187134502924,11.616216216216216
466.0,11.583333333333334,13.204301075268818
471.0,12.807017543859649,15.037837837837838
476.0,14.376470588235295,16.854054054054053
481.0,15.411764705882353,18.772972972972973
486.0,15.988095238095237,20.10928961748634
491.0,15.904761904761905,20.536312849162012
496.0,13.680473372781066,18.988888888888887
501.0,14.017543859649123,20.544444444444444
506.0,15.323529411764707,22.016393442622952
511.0,16.875739644970412,23.532608695652176
516.0,17.761904761904763,24.397849462365592
521.0,19.55151515151515,26.18716577540107
526.0,19.00602409638554,25.796791443850267
531.0,19.45562130177515,28.152173913043477
536.0,19.430232558139537,28.880434782608695
541.0,20.27683615819209,30.135135135135137
546.0,21.305084745762713,31.754010695187166
551.0,22.90340909090909,33.33157894736842
556.0,23.11046511627907,33.4331550802139
561.0,21.710982658959537,31.626315789473683
566.0,22.275862068965516,29.486910994764397
571.0,19.497142857142858,29.25128205128205
576.0,17.64406779661017,24.876923076923077
581.0,15.922222222222222,24.385786802030456
586.0,12.779661016949152,21.301020408163264
591.0,12.880681818181818,18.548223350253807
596.0,11.262569832402235,16.95939086294416
601.0,10.131868131868131,15.79
606.0,9.722222222222221,14.954081632653061
611.0,10.067415730337078,12.49746192893401
616.0,10.01123595505618,11.336683417085426
621.0,9.92090395480226,11.257425742574258
626.0,10.55,10.105
631.0,10.794594594594594,9.842364532019705
636.0,10.123655913978494,10.891089108910892
641.0,11.086486486486486,10.349514563106796
646.0,11.854054054054053,11.08133971291866
651.0,12.774193548387096,12.023923444976077
656.0,11.731182795698924,10.712918660287082
661.0,11.780219780219781,11.576190476190476
666.0,12.369565217391305,12.702830188679245
671.0,13.875675675675677,14.52132701421801
676.0,15.28494623655914,16.454545454545453
681.0,16.877005347593585,18.464114832535884
686.0,18.752688172043012,20.407582938388625
691.0,18.680851063829788,21.556603773584907
696.0,18.079787234042552,22.093896713615024
701.0,18.32804232804233,22.23611111111111
