step,system_mean_waiting_time_mc,system_mean_waiting_time_mb
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.05,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.037037037037037035
12.0,0.0,0.07407407407407407
13.0,0.0,0.1111111111111111
14.0,0.0,0.14285714285714285
15.0,0.0,0.20689655172413793
16.0,0.0,0.27586206896551724
17.0,0.034482758620689655,0.3448275862068966
18.0,0.10344827586206896,0.41379310344827586
19.0,0.1724137931034483,0.4666666666666667
20.0,0.2413793103448276,0.5483870967741935
21.0,0.3333333333333333,0.6451612903225806
22.0,0.4375,0.7419354838709677
23.0,0.5757575757575758,0.8387096774193549
24.0,0.6666666666666666,0.90625
25.0,0.4722222222222222,0.5151515151515151
26.0,0.5128205128205128,0.5757575757575758
27.0,0.5897435897435898,0.6363636363636364
28.0,0.6046511627906976,0.696969696969697
29.0,0.6744186046511628,0.7352941176470589
30.0,0.7111111111111111,0.7941176470588235
31.0,0.7608695652173914,0.8529411764705882
32.0,0.8260869565217391,0.8857142857142857
33.0,0.8723404255319149,0.9428571428571428
34.0,0.9166666666666666,1.0
35.0,0.9791666666666666,1.0571428571428572
36.0,1.0416666666666667,1.1428571428571428
37.0,1.06,1.2285714285714286
38.0,1.1176470588235294,1.2285714285714286
39.0,1.196078431372549,1.125
40.0,1.2941176470588236,1.119047619047619
41.0,1.3653846153846154,1.1904761904761905
42.0,1.4074074074074074,0.5348837209302325
43.0,1.018181818181818,0.5454545454545454
44.0,0.6607142857142857,0.0
45.0,0.1724137931034483,0.0
46.0,0.1016949152542373,0.022222222222222223
47.0,0.05,0.0425531914893617
48.0,0.06451612903225806,0.06
49.0,0.09523809523809523,0.08
50.0,0.12121212121212122,0.09803921568627451
51.0,0.14705882352941177,0.11764705882352941
52.0,0.17391304347826086,0.14814814814814814
53.0,0.21428571428571427,0.17857142857142858
54.0,0.2676056338028169,0.21052631578947367
55.0,0.2916666666666667,0.25862068965517243
56.0,0.3333333333333333,0.2711864406779661
57.0,0.19444444444444445,0.0
58.0,0.13513513513513514,0.0
59.0,0.14473684210526316,0.0
60.0,0.15789473684210525,0.0
61.0,0.16883116883116883,0.0
62.0,0.19480519480519481,0.0
63.0,0.22077922077922077,0.0
64.0,0.2564102564102564,0.0
65.0,0.2911392405063291,0.0
66.0,0.2911392405063291,0.03076923076923077
67.0,0.3125,0.03076923076923077
68.0,0.3333333333333333,0.046153846153846156
69.0,0.35802469135802467,0.06153846153846154
70.0,0.3780487804878049,0.07575757575757576
71.0,0.4,0.10606060606060606
72.0,0.4470588235294118,0.13432835820895522
73.0,0.49411764705882355,0.16417910447761194
74.0,0.5227272727272727,0.19402985074626866
75.0,0.25842696629213485,0.22388059701492538
76.0,0.12222222222222222,0.2535211267605634
77.0,0.14444444444444443,0.14084507042253522
78.0,0.08695652173913043,0.1527777777777778
79.0,0.0967741935483871,0.14864864864864866
80.0,0.10638297872340426,0.18666666666666668
81.0,0.11458333333333333,0.23684210526315788
82.0,0.14432989690721648,0.2894736842105263
83.0,0.17346938775510204,0.36363636363636365
84.0,0.20202020202020202,0.44155844155844154
85.0,0.25252525252525254,0.5128205128205128
86.0,0.297029702970297,0.5822784810126582
87.0,0.35294117647058826,0.65
88.0,0.4077669902912621,0.75
89.0,0.45714285714285713,0.85
90.0,0.5142857142857142,0.95
91.0,0.4857142857142857,0.775
92.0,0.5619047619047619,0.625
93.0,0.6,0.7108433734939759
94.0,0.6388888888888888,0.6705882352941176
95.0,0.7027027027027027,0.7764705882352941
96.0,0.7767857142857143,0.872093023255814
97.0,0.8672566371681416,0.9883720930232558
98.0,0.9478260869565217,1.1046511627906976
99.0,1.0344827586206897,1.2298850574712643
100.0,1.146551724137931,1.3522727272727273
101.0,1.2542372881355932,1.4719101123595506
102.0,1.3781512605042017,1.6067415730337078
103.0,1.5294117647058822,1.684782608695652
104.0,1.6833333333333333,1.815217391304348
105.0,1.8666666666666667,1.9565217391304348
106.0,2.0330578512396693,2.075268817204301
107.0,2.2231404958677685,2.193548387096774
108.0,2.3902439024390243,2.3333333333333335
109.0,2.5934959349593494,2.4731182795698925
110.0,2.796747967479675,2.6236559139784945
111.0,2.975806451612903,2.78494623655914
112.0,3.152,2.8947368421052633
113.0,3.36,2.6145833333333335
114.0,3.28,2.707070707070707
115.0,3.2063492063492065,2.85
116.0,3.0390625,2.85
117.0,3.030534351145038,2.98
118.0,3.1578947368421053,3.09
119.0,3.3134328358208953,3.2058823529411766
120.0,3.4814814814814814,3.326923076923077
121.0,3.6814814814814816,2.6320754716981134
122.0,3.4518518518518517,2.7735849056603774
123.0,3.27007299270073,2.9339622641509435
124.0,3.366906474820144,2.878504672897196
125.0,3.5217391304347827,3.02803738317757
126.0,3.5985915492957745,3.1481481481481484
127.0,3.7552447552447554,3.2844036697247705
128.0,3.8661971830985915,3.3454545454545452
129.0,4.013986013986014,3.518181818181818
130.0,4.166666666666667,3.625
131.0,4.354166666666667,3.794642857142857
132.0,4.448979591836735,3.982142857142857
133.0,4.608108108108108,4.169642857142857
134.0,4.804054054054054,4.357142857142857
135.0,5.0,4.473214285714286
136.0,5.120805369127517,4.669642857142857
137.0,5.322147651006712,4.857142857142857
138.0,5.496644295302014,4.964912280701754
139.0,5.570469798657718,5.166666666666667
140.0,5.657894736842105,5.120689655172414
141.0,5.718954248366013,5.310344827586207
142.0,5.876623376623376,5.413793103448276
143.0,6.006410256410256,5.564102564102564
144.0,6.09433962264151,5.720338983050848
145.0,6.2625,5.932203389830509
146.0,6.46875,6.084033613445378
147.0,6.633540372670807,6.25
148.0,6.802469135802469,6.368852459016393
149.0,7.037037037037037,6.598360655737705
150.0,7.283950617283951,6.788617886178862
151.0,7.484662576687117,6.344
152.0,7.2560975609756095,6.476190476190476
153.0,7.409638554216867,6.173228346456693
154.0,7.25748502994012,6.246153846153846
155.0,7.461077844311378,5.977099236641221
156.0,7.230769230769231,6.159090909090909
157.0,7.1,6.325757575757576
158.0,6.936046511627907,6.511278195488722
159.0,6.8604651162790695,6.7443609022556394
160.0,7.093023255813954,6.186567164179104
161.0,7.343023255813954,6.044444444444444
162.0,7.2701149425287355,6.281481481481482
163.0,7.4375,6.533333333333333
164.0,6.88135593220339,5.544117647058823
165.0,6.48876404494382,4.742647058823529
166.0,5.915730337078652,4.627737226277373
167.0,5.421348314606742,4.536231884057971
168.0,5.033519553072626,4.3478260869565215
169.0,4.385474860335195,4.115942028985507
170.0,3.7777777777777777,3.8345323741007196
171.0,3.8011049723756907,3.6402877697841727
172.0,3.7857142857142856,3.7857142857142856
173.0,3.854054054054054,3.9290780141843973
174.0,3.9405405405405407,4.0212765957446805
175.0,3.9731182795698925,4.191489361702128
176.0,4.042328042328043,4.361702127659575
177.0,4.1798941798941796,4.539007092198582
178.0,4.272251308900524,4.723404255319149
179.0,4.4188481675392675,4.880281690140845
180.0,4.518134715025907,5.056338028169014
181.0,4.492227979274611,5.006993006993007
182.0,4.528497409326425,5.077464788732394
183.0,4.5,5.283687943262412
184.0,4.576530612244898,5.3776223776223775
185.0,4.723076923076923,5.475862068965517
186.0,4.826530612244898,5.571428571428571
187.0,4.889447236180905,5.702702702702703
188.0,5.015,5.832214765100671
189.0,5.1393034825870645,5.927152317880795
190.0,5.268656716417911,6.105960264900662
191.0,5.369458128078818,6.243421052631579
192.0,5.504901960784314,6.421052631578948
193.0,5.639024390243902,6.57516339869281
194.0,5.804878048780488,6.696774193548387
195.0,6.004901960784314,6.890322580645162
196.0,6.151219512195122,7.019108280254777
197.0,6.331707317073171,7.235668789808917
198.0,6.485436893203883,7.2784810126582276
199.0,6.63768115942029,7.5
200.0,6.7368421052631575,7.734177215189874
201.0,6.923444976076555,7.8930817610062896
202.0,7.114832535885167,8.132075471698114
203.0,7.23696682464455,8.33125
204.0,7.366197183098592,8.5875
205.0,6.892523364485982,8.79503105590062
206.0,6.572093023255814,8.850931677018634
207.0,6.334883720930232,9.0
208.0,6.534883720930233,8.085889570552148
209.0,6.2889908256880735,8.306748466257668
210.0,6.127853881278539,8.408536585365853
211.0,5.1909090909090905,8.140243902439025
212.0,5.117647058823529,6.798780487804878
213.0,4.877828054298643,6.678787878787879
214.0,4.6891891891891895,6.460606060606061
215.0,4.665178571428571,6.168674698795181
216.0,4.702222222222222,5.963855421686747
217.0,4.52,6.167664670658683
218.0,4.693333333333333,5.840236686390533
219.0,4.548672566371682,6.005917159763314
220.0,4.706140350877193,5.804733727810651
221.0,4.583333333333333,6.035502958579881
222.0,4.471615720524017,5.795321637426901
223.0,4.676855895196507,6.052941176470588
224.0,4.882096069868996,5.461988304093567
225.0,5.12719298245614,5.380116959064328
226.0,4.673913043478261,5.5491329479768785
227.0,4.530434782608696,5.6473988439306355
228.0,4.579399141630901,5.120689655172414
229.0,4.5,5.32
230.0,4.582978723404255,4.845714285714286
231.0,4.673728813559322,4.725714285714286
232.0,4.795833333333333,4.8977272727272725
233.0,5.020833333333333,4.762711864406779
234.0,4.987551867219917,4.916201117318436
235.0,5.172839506172839,4.816666666666666
236.0,5.090534979423868,5.016574585635359
237.0,5.290983606557377,4.972375690607735
238.0,5.497959183673469,5.164835164835165
239.0,5.565573770491803,5.331521739130435
240.0,5.763265306122449,5.1521739130434785
241.0,5.288617886178862,4.7405405405405405
242.0,4.784552845528455,4.940540540540541
243.0,4.780487804878049,4.52972972972973
244.0,4.657258064516129,4.427027027027027
245.0,4.375,4.572192513368984
246.0,4.413654618473895,4.212765957446808
247.0,4.184738955823293,4.308510638297872
248.0,4.016,4.398936170212766
249.0,3.948,4.590425531914893
250.0,4.023809523809524,4.4338624338624335
251.0,4.141176470588236,4.457894736842105
252.0,4.301960784313725,4.397905759162303
253.0,4.2734375,4.103626943005182
254.0,4.1937984496124034,4.259067357512953
255.0,4.22093023255814,4.358974358974359
256.0,4.241379310344827,4.528205128205128
257.0,4.301526717557252,4.678571428571429
258.0,4.437262357414449,4.862244897959184
259.0,4.600760456273764,4.843434343434343
260.0,4.696969696969697,5.0
261.0,4.845283018867924,5.044554455445544
262.0,4.9812734082397006,5.137931034482759
263.0,5.115241635687732,5.285714285714286
264.0,5.226765799256506,5.46078431372549
265.0,5.377777777777778,5.583333333333333
266.0,5.551851851851852,5.827586206896552
267.0,5.703703703703703,6.054187192118227
268.0,5.796296296296297,6.181372549019608
269.0,5.981481481481482,6.352941176470588
270.0,6.136029411764706,6.563725490196078
271.0,5.985347985347985,6.769607843137255
272.0,6.153284671532846,6.150485436893204
273.0,6.036496350364963,6.330097087378641
274.0,5.967032967032967,6.526570048309178
275.0,5.843065693430657,6.69377990430622
276.0,6.036363636363636,6.555023923444976
277.0,5.956521739130435,6.761904761904762
278.0,6.14748201438849,6.611374407582939
279.0,6.111510791366906,6.85781990521327
280.0,6.32258064516129,6.767772511848341
281.0,6.2214285714285715,6.976303317535545
282.0,6.124555160142349,7.280952380952381
283.0,6.359430604982206,7.419811320754717
284.0,6.604982206405694,7.333333333333333
285.0,6.356643356643357,7.596244131455399
286.0,6.581881533101045,7.15962441314554
287.0,6.337979094076655,7.408450704225352
288.0,6.348275862068966,7.0754716981132075
289.0,6.36518771331058,7.339622641509434
290.0,6.623287671232877,7.443396226415095
291.0,6.77319587628866,7.685446009389671
292.0,7.024054982817869,7.84037558685446
293.0,7.167808219178082,8.126760563380282
294.0,7.310580204778157,8.427230046948356
295.0,7.4523809523809526,8.646511627906976
296.0,7.733788395904437,8.874418604651163
297.0,7.959044368600683,9.125
298.0,8.193877551020408,9.214611872146119
299.0,8.419795221843003,9.515981735159817
300.0,8.620338983050848,9.812785388127853
301.0,8.363945578231293,9.41891891891892
302.0,7.979661016949152,9.228699551569507
303.0,7.648648648648648,9.116071428571429
304.0,7.579661016949153,9.142857142857142
305.0,7.650847457627119,9.178571428571429
306.0,7.611486486486487,9.408888888888889
307.0,7.664406779661017,9.650442477876107
308.0,7.724832214765101,9.844444444444445
309.0,7.719063545150502,10.053571428571429
310.0,7.842809364548495,10.24
311.0,8.026845637583893,10.409691629955947
312.0,8.234113712374581,10.704845814977974
313.0,8.48494983277592,11.022026431718063
314.0,8.74247491638796,11.33920704845815
315.0,9.067340067340067,11.669603524229075
316.0,9.336700336700337,12.12
317.0,9.594594594594595,12.535714285714286
318.0,9.841216216216216,12.778761061946902
319.0,10.125,13.039647577092511
320.0,10.36026936026936,13.337719298245615
321.0,10.624161073825503,13.641921397379912
322.0,10.846666666666666,14.013100436681222
323.0,11.102990033222591,14.393013100436681
324.0,11.411960132890366,14.768558951965066
325.0,11.653465346534654,15.07391304347826
326.0,11.950331125827814,15.331896551724139
327.0,11.749174917491748,14.681034482758621
328.0,11.673267326732674,14.560344827586206
329.0,11.36569579288026,14.528138528138529
330.0,10.983818770226538,14.830434782608696
331.0,10.62135922330097,14.310344827586206
332.0,9.951456310679612,13.935344827586206
333.0,9.35897435897436,13.922413793103448
334.0,9.365384615384615,12.344827586206897
335.0,9.272435897435898,12.167381974248928
336.0,9.392282958199356,11.914893617021276
337.0,8.861736334405144,11.19831223628692
338.0,8.672025723472668,11.10126582278481
339.0,8.72668810289389,10.761506276150628
340.0,8.493548387096775,11.07112970711297
341.0,8.594249201277956,10.468619246861925
342.0,8.654952076677317,10.384937238493723
343.0,8.498402555910543,10.629166666666666
344.0,8.670886075949367,10.45
345.0,8.69620253164557,10.577405857740585
346.0,8.810725552050473,10.825
347.0,9.063091482649842,10.329166666666667
348.0,8.962264150943396,10.564315352697095
349.0,8.96551724137931,10.721991701244812
350.0,8.850467289719626,10.97107438016529
351.0,9.058823529411764,10.59670781893004
352.0,9.354037267080745,10.275720164609053
353.0,9.594427244582043,9.877551020408163
354.0,9.61111111111111,10.204918032786885
355.0,9.636923076923077,10.491803278688524
356.0,9.981424148606811,10.647773279352228
357.0,10.071428571428571,10.931174089068826
358.0,10.067901234567902,11.222672064777328
359.0,10.358024691358025,10.94331983805668
360.0,10.299382716049383,11.205645161290322
361.0,9.975308641975309,10.485943775100402
362.0,9.81733746130031,10.19838056680162
363.0,9.49221183800623,9.963562753036438
364.0,9.178683385579937,10.239837398373984
365.0,9.153125,9.800813008130081
366.0,9.040625,9.54655870445344
367.0,8.510903426791277,9.873983739837398
368.0,8.127329192546584,9.947368421052632
369.0,7.916149068322981,9.32258064516129
370.0,8.0527950310559,8.459677419354838
371.0,7.713846153846154,8.736842105263158
